contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,optionType,underlying,expiry,snapshot_date
AVGO280121P00450000,2025-12-12 18:33:28+00:00,450.0,142.07,143.2,145.65,14.87001,11.69026,14.0,96.0,0.407934387512207,True,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00460000,2025-12-10 19:05:23+00:00,460.0,131.0,150.1,153.3,0.0,0.0,2.0,52.0,0.4084074052429199,True,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00470000,2025-12-01 15:58:23+00:00,470.0,143.8,157.45,159.75,0.0,0.0,9.0,15.0,0.4025023129272461,True,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00480000,2025-12-11 18:44:14+00:00,480.0,144.09,164.3,166.9,0.0,0.0,1.0,47.0,0.3994124390411377,True,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00490000,2025-12-09 14:53:41+00:00,490.0,154.45,171.7,174.2,0.0,0.0,2.0,35.0,0.39649041015625,True,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00500000,2025-12-10 18:50:16+00:00,500.0,157.15,177.5,182.5,0.0,0.0,2.0,4.0,0.3980010151672363,True,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00510000,2025-12-01 18:18:59+00:00,510.0,171.35,186.5,189.15,0.0,0.0,3.0,44.0,0.3907302748870849,True,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00520000,2025-12-11 19:52:35+00:00,520.0,170.11,192.75,195.7,0.0,0.0,5.0,71.0,0.3822541023254394,True,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00540000,2025-12-10 18:50:16+00:00,540.0,185.03,209.5,212.3,0.0,0.0,2.0,13.0,0.3817353086853026,True,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO280121P00560000,2025-11-26 16:38:27+00:00,560.0,206.0,225.65,228.25,0.0,0.0,1.0,15.0,0.3758302163696289,True,REGULAR,USD,P,AVGO,2028-01-21,2025-12-14
AVGO251219C00031000,2025-11-24 17:57:18+00:00,31.0,342.92,327.15,330.05,0.0,0.0,2.0,13.0,9.830081981201173,True,REGULAR,USD,C,AVGO,2025-12-19,2025-12-14
